track_id,predicted_face_id,n_faces,first_sec,review,true_id
s117,Face_42,1,830.8,,
s119,Face_84,1,830.8,,
s120,Face_42,1,831.8,,
s121,Face_16,1,831.8,merge?,
s122,Face_44,1,832.8,merge?,
s123,unknown,1,832.8,,
s125,Face_12,1,833.8,merge?,
s124,Face_45,1,833.8,,
s127,unknown,1,833.8,split?,
s126,Face_85,1,833.8,,
s128,Face_86,1,834.8,,
s129,Face_45,1,834.8,,
s130,Face_87,1,834.8,,
s131,Face_46,1,834.8,,
s135,Face_46,1,835.8,merge?,
s132,Face_17,1,835.8,,
s133,Face_44,1,835.8,merge?,
s134,Face_88,1,835.8,,
s138,Face_89,1,836.8,merge?,
s137,Face_16,1,836.8,merge?,
s136,Face_17,1,836.8,,
s139,Face_17,1,837.8,,
s140,Face_16,1,837.8,merge?,
s143,Face_91,1,838.8,,
s141,Face_90,1,838.8,,
s142,Face_17,1,838.8,merge?,
s144,Face_16,1,838.8,merge?,
s148,Face_93,1,839.8,,
s147,Face_43,1,839.8,merge?,
s146,Face_92,1,839.8,,
s145,Face_17,1,839.8,,
t17,Face_159,1,840.8,merge?,
s149,Face_16,1,840.8,merge?,
t18,Face_160,1,841.8,,
s150,Face_94,1,841.8,,
s151,Face_29,1,841.8,merge?,
s152,Face_30,1,842.8,,
s153,Face_95,1,843.8,,
s154,Face_30,1,843.8,,
s155,Face_96,1,844.8,,
s156,Face_30,1,844.8,,
s157,unknown,1,844.8,split?,
s158,unknown,1,845.8,split?,
s159,Face_97,1,848.8,merge?,
s160,Face_98,1,849.8,,
s161,unknown,1,856.9,merge? split?,
s162,unknown,1,861.9,split?,
s163,Face_99,1,862.9,,
s164,Face_100,1,864.9,,
s165,unknown,1,865.9,merge?,
s166,unknown,1,865.9,merge?,
s167,unknown,1,866.9,,
s168,Face_47,1,869.9,,
s170,Face_102,1,871.9,,
s169,Face_101,1,871.9,,
s171,Face_103,1,873.9,,
s172,Face_47,1,875.9,,
s173,unknown,1,875.9,merge?,
s174,Face_104,1,876.9,,
s175,Face_48,1,895.9,,
s176,Face_48,1,896.9,,
s177,Face_18,1,917.9,,
s178,Face_18,1,918.9,,
s180,Face_49,1,919.9,merge?,
s179,Face_105,1,919.9,,
s182,Face_18,1,927.9,,
s181,Face_106,1,927.9,,
s183,Face_107,1,928.9,,
t19,Face_03,6,928.9,merge?,
s184,Face_50,1,929.9,merge?,
s185,Face_18,1,931.9,,
s186,Face_18,1,932.9,,
s188,Face_32,1,933.9,merge?,
s187,Face_03,1,933.9,merge?,
s189,Face_32,1,934.9,,
s190,Face_03,1,935.9,,
s191,Face_49,1,935.9,merge?,
s192,Face_51,1,938.9,merge?,
s194,Face_50,1,939.9,merge?,
s193,Face_51,1,939.9,merge?,
s195,Face_03,1,940.9,,
s196,Face_03,1,941.9,,
t20,Face_03,4,942.9,merge?,
s197,Face_32,1,955.0,,
s198,Face_109,1,966.0,,
s199,Face_110,1,967.0,,
s200,Face_53,1,968.0,,
s201,Face_53,1,969.0,,
s202,unknown,1,985.0,split?,
s203,Face_111,1,1005.0,merge?,
s204,Face_01,1,1022.0,,
s205,Face_01,1,1023.0,,
s206,Face_01,1,1024.0,,
t21,Face_01,7,1025.0,,
s207,Face_13,1,1039.0,,
s208,Face_54,1,1039.0,,
s209,Face_112,1,1039.0,,
t22,Face_15,3,1039.0,merge?,
s210,Face_13,1,1040.0,,
s211,Face_54,1,1040.0,,
s213,Face_55,1,1041.0,,
s212,Face_13,1,1041.0,,
s214,Face_13,1,1042.0,,
s215,Face_55,1,1042.0,merge?,
s216,Face_13,1,1043.0,,
s217,Face_14,1,1043.0,,
s218,Face_13,1,1044.0,,
s219,Face_15,1,1044.0,merge?,
s220,Face_56,1,1045.0,merge?,
s221,Face_15,1,1045.0,merge?,
s223,Face_56,1,1046.0,merge?,
s222,Face_15,1,1046.0,merge?,
s224,Face_57,1,1047.0,merge?,
t23,Face_14,4,1047.0,merge?,
s225,Face_19,1,1048.0,,
s226,Face_113,1,1048.0,,
s227,Face_19,1,1049.0,,
s228,Face_20,1,1050.0,,
t24,Face_19,1,1050.0,,
s230,Face_19,1,1051.0,,
s231,Face_114,1,1051.0,,
s232,Face_115,1,1051.0,,
s229,Face_20,1,1051.0,,
s233,Face_58,1,1052.1,,
s234,Face_14,1,1052.1,merge?,
s235,Face_116,1,1052.1,,
s236,Face_20,1,1052.1,,
s237,unknown,1,1052.1,split?,
s242,Face_29,1,1053.1,merge?,
s241,Face_24,1,1053.1,,
s240,Face_58,1,1053.1,,
s238,Face_117,1,1053.1,,
s239,Face_20,1,1053.1,,
s245,Face_59,1,1054.1,,
s244,Face_119,1,1054.1,,
s243,Face_118,1,1054.1,merge?,
s248,Face_120,1,1054.1,,
s247,Face_20,1,1054.1,,
s246,Face_19,1,1054.1,,
s250,Face_60,1,1055.1,merge?,
s251,Face_61,1,1055.1,,
s252,Face_24,1,1055.1,,
s253,unknown,1,1055.1,split?,
s249,Face_59,1,1055.1,,
t25,Face_60,1,1056.1,,
s258,Face_04,1,1056.1,merge?,
s256,Face_121,1,1056.1,merge?,
s255,Face_33,1,1056.1,,
s254,Face_61,1,1056.1,,
s257,Face_24,1,1056.1,,
s259,Face_33,1,1057.1,,
s260,Face_122,1,1057.1,merge?,
s261,Face_24,1,1057.1,,
s262,Face_25,1,1057.1,merge?,
s263,Face_34,1,1058.1,merge?,
s264,Face_33,1,1058.1,,
s265,Face_34,1,1059.1,merge?,
s266,Face_25,1,1059.1,merge?,
t26,Face_25,2,1060.1,merge?,
s267,Face_34,1,1060.1,,
t27,Face_04,5,1064.1,merge?,
s268,Face_04,1,1069.1,merge?,
t28,Face_04,2,1070.1,merge?,
s269,Face_04,1,1072.1,merge?,
s270,Face_04,1,1073.1,merge?,
s271,Face_123,1,1074.1,,
s273,Face_04,1,1075.1,merge?,
s272,Face_63,1,1075.1,,
t29,Face_04,2,1076.1,merge?,
s274,Face_63,1,1076.1,,
t30,Face_75,2,1077.1,,
s275,Face_124,1,1092.1,,
s276,unknown,1,1092.1,,
s277,Face_125,1,1093.1,,
s279,Face_127,1,1102.1,,
s280,Face_128,1,1102.1,,
s281,Face_129,1,1102.1,,
s278,Face_126,1,1102.1,,
s282,Face_64,1,1122.1,merge?,
s283,Face_130,1,1131.1,,
s284,unknown,1,1131.1,split?,
s285,Face_131,1,1132.1,,
s286,Face_132,1,1133.1,,
s287,unknown,1,1133.1,merge?,
s288,Face_133,1,1135.1,,
s290,Face_66,1,1136.1,merge?,
s289,Face_12,1,1136.1,merge?,
s291,Face_134,1,1137.1,,
s292,Face_12,1,1137.1,merge?,
s293,Face_67,1,1137.1,merge?,
s294,Face_135,1,1138.1,,
s295,Face_66,1,1138.1,merge?,
s296,Face_67,1,1139.1,,
s297,Face_136,1,1140.1,,
s298,Face_137,1,1140.1,,
s299,Face_68,1,1140.1,merge?,
s300,Face_68,1,1141.1,,
s301,Face_29,1,1148.1,merge?,
s302,Face_64,1,1150.1,merge?,
t31,Face_39,3,1154.2,,
s303,Face_139,1,1165.2,,
s304,Face_01,1,1190.2,,
t32,Face_01,4,1191.2,,
s305,Face_69,1,1209.2,,
s306,Face_69,1,1210.2,,
s307,Face_01,1,1294.3,,
s308,Face_01,1,1295.3,,
t33,Face_01,4,1296.3,,
s309,Face_35,1,1297.3,,
s310,Face_35,1,1298.3,,
s311,Face_35,1,1300.3,,
s312,Face_22,1,1313.3,merge?,
s313,Face_22,1,1314.3,merge?,
t34,Face_22,1,1315.3,merge?,
s314,Face_22,1,1316.3,merge?,
t35,Face_26,2,1329.3,merge?,
s315,Face_26,1,1331.3,,
s316,Face_26,1,1332.3,,
t36,Face_22,1,1333.3,,
s317,Face_70,1,1338.3,,
s318,Face_70,1,1339.3,,
s319,Face_140,1,1341.3,,
s320,Face_141,1,1342.3,,
s321,Face_142,1,1368.4,,
